id,headline,label
592,Lions den don dedicate upcoming match to kontri war victim dem,sports
593,Kontri agricultural credit bank don disburse new loan dem,business
594,New training center don commission for football development,sports
595,Govament don table new anti-terrorism bill for parliament,politics
596,Kontri prime minister don hold press conference for media,politics
597,Cameroon don partner with MSF for conflict area medical care,health
598,New AI translation tool don convert Cameroonian language dem,technology
599,Vaccination campaign don start for child dem below five year,health
600,Kontri music boss don announce big year-end concert event,entertainment
601,Cameroonian language app don win UNESCO recognition award,technology
602,Cameroonian sculptor don get commission for public work,entertainment
603,Cameroonian athlete don break own national record for shot put,sports
604,New occupational health program don protect factory worker,health
605,Online birth registration system don simplify civil records,technology
606,Kontri startup don build app for reporting pothole on road,technology
607,Lions don beat Tanzania 4-0 in international friendly match,sports
608,National team den don do hard training for qualifier match,sports
609,Kontri film production company don sign deal with Netflix,entertainment
610,Cameroonian startup don pitch at African tech summit today,business
611,Chamber of commerce don meet to discuss trade barrier dem,business
612,Lions squad don arrive for training camp in Morocco today,sports
613,Cameroonian fashion brand don secure major retail deal,business
614,Cameroonian theater company don adapt classic for local taste,entertainment
615,New medical oxygen plant don commission for central hospital,health
616,Foreign investor dem don show interest in Cameroon energy,business
617,Kontri health budget don increase for third year running,health
618,New digital payment gateway don help export business grow,technology
619,New tech mentorship program don link junior and senior dev,technology
620,Cameroonian swimmer don win gold for youth African Games,sports
621,Free community health day don hold for different ward dem,health
622,New Afrobeats fusion from Cameroon don go global platform,entertainment
623,Mobile money transaction dem don double for Cameroon today,business
624,Young Cameroonian player don score debut goal for new club,sports
625,New warehouse receipt system don help farmer dem sell crop,business
626,Health ministry don ban some expired medicine from market,health
627,Govament don announce relocation of some ministry to region,politics
628,Cameroonian graffiti artist don get public art commission,entertainment
629,New cultural centre don provide studio for local artist dem,entertainment
630,Cameroonian public health student dem win global award,health
631,New postpartum care program don help new mother dem today,health
632,New community pool don open for swim training in Douala,sports
633,New urban development bill don come for assembly debate,politics
634,Cameroonian jute bag manufacturer don expand for export,business
635,Cameroon maize production don surpass national target 2025,business
636,President Biya sign new law for land reform for Cameroon,politics
637,Cameroonian engineer don design new solar irrigation system,technology
638,Free eye screening program don start for elderly people dem,health
639,Kontri basketball league don start new season dis weekend,sports
640,Cameroon don report decline in child mortality rate for 2025,health
641,Free antibiotic awareness talk don hold for community today,health
642,Kontri wrestling federation don host African championship,sports
643,Kontri telecom regulator don review mobile data pricing model,technology
644,Cameroonian tech firm don partner with Kenyan company for app,business
645,Digital payment for school fee don start for new term,technology
646,New government contract don go to local construction company,business
647,Cameroon don participate for Africa health forum in Addis,health
648,Lions vice captain don call for team unity before big game,sports
649,New fast food chain don open branch for Cameroon market,business
650,Digital literacy program don reach rural school dem now,technology
651,New family planning center don open for new mother today,health
652,Kontri health platform don integrate appointment reminder,technology
653,New music video from kontri star don hit million view fast,entertainment
654,Cameroon don launch new e-government platform for service,technology
655,New senior official dem don swear in for cabinet post today,politics
656,Ministry don renew expired medicine regulation for vendor,health
657,New e-passport system don reduce immigration processing time,technology
658,Govament don open new ministry for digital economy sector,politics
659,National team fan club don organize solidarity march today,sports
660,New arts exhibition don open for Douala cultural center,entertainment
661,Cocoa price don rise for international market dis season,business
662,Kontri construction sector don recover from pandemic setback,business
663,Kontri smart city initiative don pilot for Limbe district,technology
664,National team don return home after AFCON semifinal exit,sports
665,Cameroonian VR startup don build virtual tourism experience,technology
666,Regional development authority don get new boss for south,politics
667,New community pharmacy don open for underserved area today,health
668,Kontri sports council don review annual performance today,sports
669,Cameroonian singer don win Best African Artiste award tonight,entertainment
670,New kontri agricultural policy don go for stakeholder review,politics
671,UN don call Cameroon govament for peace in Anglophone crisis,politics
672,New cultural magazine don launch for Cameroonian audience,entertainment
673,Fecafoot don ban referee for manipulating league match result,sports
674,Cameroonian coach don lead club team for CAF final match,sports
675,Kontri sports documentary don air for national television,sports
676,Cameroon cocoa board don announce new grading standard,business
677,New migration management law don pass for national assembly,politics
678,Cotonsport Garoua don retain league title for fourth time,sports
679,Cameroon gold mining industry don attract new foreign firm,business
680,ELECAM don update voter registration list for new elektion,politics
681,New cheerleading sport don gain popularity for kontri school,sports
682,Kontri security council don review border protection policy,politics
683,Cameroonian music journalist don publish book on Makossa,entertainment
684,Youth football tournament don start for Yaoundé dis week,sports
685,Free glaucoma screening program don start for adult dem,health
686,New blood bank facility don improve transfusion service today,health
687,Supermarket chain don expand to five new city dem dis year,business
688,FECAFOOT don introduce video assistant referee for league,sports
689,Kontri electoral commission don publish final voter register,politics
690,New penal code don pass national assembly for kontri law,politics
691,Finance ministry don release new tax incentive for investor,business
692,Govament don review penal code for modernize justice system,politics
693,Minister don announce construction of new parliament building,politics
694,New cervical cancer prevention program don start for woman,health
695,Ministry don issue new food safety guideline for market,health
696,Kontri ministry don pilot blockchain land registry system,technology
697,Cameroon don record rise in diabetes and hypertension case,health
698,Cameroonian coffee producer dem win fair trade recognition,business
699,Free smoking cessation program don open for interested person,health
700,Govament don suspend journalist wey expose corruption story,politics
701,New open data portal don allow citizen to access gov info,technology
702,Cameroon don receive donation of ICU equipment from Japan,health
703,Digital agriculture advisory service don reach small farmer,technology
704,Bikutsi queen don release first album for five long year,entertainment
705,New youth sport center don open for Ebolowa south region,sports
706,Kontri traditional medicine don get recognition from ministry,health
707,Lions training camp don begin for important qualifier period,sports
708,FECAFOOT don unveil new national team jersey for season,sports
709,Govament don send delegation go for ECOWAS summit meeting,politics
710,Kontri theatre group don tour West African country dem now,entertainment
711,Cameroonian fashion influencer don gain international fanbase,entertainment
712,President don appoint new chief justice for supreme court,politics
713,Cameroonian real estate firm don launch housing estate project,business
714,New tech hub don open for Douala to support startup dem,technology
715,Kontri comedian don sell out show for Yaoundé this week,entertainment
716,Minister don announce new policy for kontri civil service,politics
717,Cameroon petroleum sector reform don attract foreign funding,business
718,Kontri minister of health don table new drug regulation law,politics
719,Kontri tech park don generate new job dem for graduate,technology
720,New surgical training program don improve quality of operation,health
721,Kontri nightlife don boom after COVID recovery for big city,entertainment
722,Monkey pox outbreak don record in some community for kontri,health
723,New kontri economic zone don attract five hundred million,business
724,Cameroon rubber production don fall for second year running,business
725,Digital election monitoring system don detect irregularity,technology
726,New rural bank don start operation for Bamenda west town,business
727,Cameroon pharmaceutical company don launch local drug line,business
728,Govament don hold security summit for Anglophone peace process,politics
729,Lions qualifier match go show live for national television,sports
730,New tech incubator graduate first batch of startup founder,technology
731,Govament don dismiss claim that elektion was rigged today,politics
732,Cameroonian bowler don win All Africa Games gold medal,sports
733,Prime Minister go visit all ten region dem before elektion,politics
734,President don receive visiting head of state from Ethiopia,politics
735,Cameroonian novelist don get review in New York Times,entertainment
736,Kontri health minister don release new drug pricing policy,health
737,New AI assistant don launch in Kamtok and Ewondo language,technology
738,Govament don create special fund for Anglophone reconstruction,politics
739,Kontri prime minister don address nation for new year speech,politics
740,Stadium renovation don complete before AFCON tournament,sports
741,New music streaming platform don feature kontri music today,entertainment
742,New consumer goods company don enter Cameroon market today,business
743,Kontri tech conference don bring innovator dem together,technology
744,New digital health record system don pilot for hospital dem,technology
745,New blockchain certificate system don issue university degree,technology
746,Cameroon don qualify for AFCON tournament for next year,sports
747,Cameroonian wheelchair racer don win international 5km race,sports
748,Kontri e-payment adoption rate don rise for business sector,technology
749,Cameroon women team don reach AFCON final for first time,sports
750,New e-learning platform don translate content for local language,technology
751,Cameroonian player dem don refuse national team call-up,sports
752,Cameroonian goalkeeper don join big Premier League club,sports
753,New kontri anti-money laundering law don pass for assembly,politics
754,New export finance scheme don help SME go for foreign market,business
755,Govament don appoint new director general for state company,politics
756,Cameroon don condemn coup attempt in neighboring Gabon,politics
757,FECAFOOT don announce prize money for national league club,sports
758,New food security plan don come from kontri agriculture minister,politics
759,New social welfare scheme don launch for kontri poor people,politics
760,New contactless payment terminal dem don deploy for market,technology
761,FECAFOOT don condemn violent incident for league match,sports
762,Kontri maternal death audit don identify key risk factor,health
763,Digital identity verification system don speed up service,technology
764,Yaounde don send diplomat go for UN meeting for New York,politics
765,Cameroonian musician don launch music school for the youth,entertainment
766,New pharmacy technician training don start for kontri student,health
767,Online business registration system don reduce waiting time,technology
768,Kontri sport body don appeal against FIFA sanction ruling,sports
769,Cameroonian university don offer free online programming course,technology
770,Cameroonian printer company don launch eco-friendly product,business
771,New immunization tracking app don improve vaccination rate,health
772,New drug addiction rehabilitation center don open for Douala,health
773,Cameroonian goalscorer don equal kontri goal-scoring record,sports
774,New sport psychology program don help athlete perform better,sports
775,Cameroonian tennis player don win African ITF tournament,sports
776,Kontri doctor dem don complain about medicine shortage today,health
777,Cameroonian boxer don take world ranking to number three,sports
778,New cancer registry don help track tumor case for kontri,health
779,Cameroonian author don shortlist for Caine Prize for Africa,entertainment
780,Cameroonian bank don report record profit for third quarter,business
781,New traditional mask dance don perform for national event,entertainment
782,New kontri financial sector stability report don release today,business
783,President don hold cabinet meeting to review kontri progress,politics
784,Govament don renew peacekeeping agreement with UN body,politics
785,New export credit scheme don help manufacturer sell abroad,business
786,Cameroonian game developer don release new mobile game today,technology
787,Cameroonian spoken word poet don pack big venue for show,entertainment
788,Opposition party don accuse govament of bad election conduct,politics
789,Parliament don debate controversial media freedom law today,politics
790,Cameroonian student dem launch crowdfunding site for school,technology
791,New nutrition program don help mother dem feed pickin well,health
792,Cameroonian SME dem don complain of access to credit today,business
793,Cameroonian gymnast don perform for international exhibition,sports
794,Cameroonian app dem don translate health content for patient,technology
795,New hospital waste incinerator don protect environment today,health
796,Opposition leader dem don form new political movement today,politics
797,Small business dem don complain about high interest rate,business
798,New wound care center don train nurse for modern technique,health
799,Cameroon women football team don beat Mali for qualifier,sports
800,Kontri arts council don award grant to ten young artist,entertainment
801,New digital signature law don enable paperless transaction,technology
802,New national health insurance law don pass for parliament,health
803,New Cameroonian TV comedy don debut for national channel,entertainment
804,National team sponsor don announce new deal for three year,sports
805,Kontri filmmakers group don advocate for local production,entertainment
806,Cameroonian logistics startup don reduce delivery cost by half,business
807,Cameroonian company don win regional supply chain award,business
808,Cameroonian app don win African innovation prize this year,technology
809,New e-justice platform don allow court filing from home,technology
810,Cameroonian storyteller don perform for cultural festival,entertainment
811,New road infrastructure fund don get approval from cabinet,politics
812,New tech policy framework don release for digital economy,technology
813,Prime Minister don sack minister for corruption allegation,politics
814,New national data center don plan for Yaoundé tech district,technology
815,Kontri folk music group don perform for Pan-African festival,entertainment
816,Sports ministry don launch talent hunt program for youth,sports
817,New government supplier registry don reduce corrupt practice,business
818,Govament don announce zero tolerance for bribery in offices,politics
819,New startup hub don open for Douala tech district area,business
820,University sport federation don launch new student league,sports
821,New tech park for Bafoussam don attract five new company,technology
822,New mosquito net distribution don reach all endemic village,health
823,Kontri university don introduce new computer science degree,technology
824,Cameroon film industry don record growth for second year,entertainment
825,Govament don invite Ambas faction dem for inclusive dialogue,politics
826,Kontri finance minister don present mid-year budget review,politics
827,Cameroon mineral water export don reach new regional market,business
828,New emergency response protocol don upgrade for hospital,health
829,Cameroonian dance school don produce troupe for Europe tour,entertainment
830,New web series about life for Douala don go viral online,entertainment
831,Cameroonian photographer don exhibit for international gallery,entertainment
832,Cameroon airline industry don record passenger growth today,business
833,Ministry of digital economy don announce new cyber law today,technology
834,Free HIV testing and counselling don start for workplace,health
835,Local government don receive new development fund from center,politics
836,Lions coaching staff don assess player dem before AFCON,sports
837,New cultural exchange program don bring artiste from abroad,entertainment
838,Kontri music producer don win Grammy for African category,entertainment
839,New cross-border payment system don connect CEMAC region,business
840,Kontri digital ID project don enroll five million citizen,technology
841,"New kontri business directory don list 10,000 company dem",business
842,Popular music group don announce comeback concert for fans,entertainment
843,FECAFOOT don fine club for fielding ineligible player today,sports
844,Sports federation don sign new deal with kit supplier today,sports
845,New birthing center don open for Kumba for southwest region,health
846,Kontri president don travel go China for bilateral discussion,politics
847,Cameroon spice export don find new market in Middle East,business
848,Kontri artiste dem don petition for better copyright law,entertainment
849,Tech talent scholarship don open for brilliant young student,technology
850,Cameroonian comedy film don premiere for home audience,entertainment
851,Ministry don launch anti-tobacco campaign for young people,health
852,Cameroonian engineering student dem build water pump system,technology
853,Kontri ministry don digitize archive dem for public access,technology
854,Kontri child nutrition program don reduce kwashiorkor case,health
855,Cameroonian DJ don represent Africa for global music contest,entertainment
856,Kontri private sector don call for better business environment,business
857,Ministry don require mandatory health certificate for food vendor,health
858,Health minister don announce plan to build 50 new clinic,health
859,Big music concert don set for Yaoundé for Independence Day,entertainment
860,Orange Cameroon don launch new payment service for phone,business
861,Elektion Komishon di prepare for next year kontri vote,politics
862,Lions goalkeeper don save penalty for crucial qualifier,sports
863,Govament don table new mining sector regulation for assembly,politics
864,Cameroonian public health researcher don publish new study,health
865,New cement factory don open for Limbe to create employment,business
866,Lions draw 1-1 against Ghana for important qualifier match,sports
867,New tax amnesty program don open for small business dem,business
868,New rural health financing scheme don receive seed funding,health
869,Free diabetic retinopathy check don start for patient dem,health
870,Govament don refute claim of secret negotiation with rebels,politics
871,Kontri football association don partner with FIFA for training,sports
872,Ministry don call for proper waste disposal near hospital,health
873,Kontri social media regulation don pass for online safety,technology
874,New electoral law amendment don divide opinion for kontri,politics
875,New regional governor don take office for Littoral region,politics
876,Cameroon don receive Gavi funding for new vaccines for child,health
877,Kontri GDP don grow by three point five percent for 2025,business
878,New coding challenge don attract participant from all region,technology
879,New artist residency don open application for young talent,entertainment
880,Cameroon don expand health coverage for informal worker,health
881,Cameroonian spoken word performance don draw tears for crowd,entertainment
882,New ophthalmology center don open to treat eye disease,health
883,Cameroon don train first batch of palliative care nurse dem,health
884,Ministry don announce construction of new health research lab,health
885,Import substitute industry don grow for kontri dis quarter,business
886,Govament don resettle some displaced person dem for west,politics
887,Kontri award for best new artist don receive many nomination,entertainment
888,New commercial bank don open for Ngaoundéré for north,business
889,Kontri ambulance service don get new dispatch center today,health
890,Govament don order security forces stop use of excess force,politics
891,Cameroonian singer don perform for FIFA opening ceremony,entertainment
892,Kontri security apparatus don seize illegal weapon dem again,politics
893,Online marketplace for kontri food product don launch today,business
894,Fresh investment announcement don come for energy sector,business
895,Kontri comedian dem don release new social media skit today,entertainment
896,Govament don increase police deployment for border security,politics
897,Cameroonian referee don get FIFA international badge today,sports
898,New kontri investment code don come for parliament debate,politics
899,New radiotherapy center don give hope to cancer patient dem,health
900,New oxygen supply system don improve critical care for hospital,health
901,Cameroonian swimmer don break African record for backstroke,sports
902,Cameroonian developer don create tax filing tool for trader,technology
903,Kontri import bill don rise because of foreign exchange fall,business
904,New kontri constitution amendment don go for debate today,politics
905,Cameroon don receive new batch of Chinese medicine donation,politics
906,New satellite imagery system don track deforestation in forest,technology
907,Cameroonian social media platform don reach 100k user mark,technology
908,Kontri cultural troupe don tour Europe for African month,entertainment
909,Minister for justice don talk about prison reform in kontri,politics
910,New public WiFi network don deploy in Yaoundé central area,technology
911,Free vitamin A supplement don give to child dem under five,health
912,New trade delegation from Cameroon don visit Asian market,business
913,Cameroonian entrepreneur don win African business award,business
914,National theatre don stage new play from local playwright,entertainment
915,FECAFOOT don sign memorandum with Spanish football body,sports
916,Cameroon pineapple export don enter European market fully,business
917,Kontri customs don introduce automated cargo clearance system,technology
918,Youth minister don launch skills program for young people dem,politics
919,Kontri fashion week don showcase 30 local designer dem,entertainment
920,New youth parliament session don hold for national assembly,politics
921,New insurance company don get license for kontri market,business
922,Cameroonian spoken word artist don win continental award,entertainment
923,Kontri blood bank short supply don worry health official dem,health
924,Cameroon polio immunization campaign don reach last child,health
925,Cameroonian marathon runner don qualify for Olympic Games,sports
926,Cameroonian importer dem don complain about port delays,business
927,Cameroonian tech entrepreneur don raise Series A funding,business
928,Kontri price control authority don warn against food hoarding,business
929,New wound healing clinic don open for burn patient dem,health
930,New world music album from Cameroon don get great review,entertainment
931,New kontri record label don sign five promising new artist,entertainment
932,Cameroonian actress don win role in big Hollywood production,entertainment
933,New football league season don start for Cameroon dis week,sports
934,New Cameroonian novel don get translation for English today,entertainment
935,New blockchain voting system don test for local election,technology
936,New digital comic strip about Cameroon life don launch today,entertainment
937,Young player don get big money transfer to Spanish club,sports
938,Cameroon digital payment volume don reach record level today,business
939,Cameroonian dietician dem don launch new healthy diet guide,health
940,Cameroonian decathlete don qualify for continental games,sports
941,Cameroon don launch new school health program for student,health
942,New anti-corruption bill don reach national assembly today,politics
943,New drug formulary don guide prescribing practice in hospital,health
944,Security force don seize weapon dem for Anglophone region,politics
945,New youth talent competition don discover future music star,entertainment
946,Govament don say kontri economy go grow by five percent,politics
947,New music education program don launch for secondary school,entertainment
948,New ICT infrastructure investment don come from World Bank,technology
949,Kontri spy agency don expose foreign plot against Cameroon,politics
950,Minister of Finance don announce new tax policy for 2026,politics
951,Kontri sports minister don visit Olympic preparation camp,sports
952,Cameroonian pharmacist dem update drug dispensing guideline,health
953,National rugby team don register for African championship,sports
954,Kontri minimum wage don rise by twelve percent dis year,business
955,Gov don partner with Google for digital skills training,technology
956,Youth dem for Yaoundé don protest against unemployment rise,politics
957,Kontri sport medicine center don open to help athlete dem,sports
958,Kontri awards show don reveal nominees for dis year event,entertainment
959,Cameroonian swimmer don qualify for Olympic final event,sports
960,Kontri sport institute don graduate new batch of coach dem,sports
961,New government white paper on education don release today,politics
962,International fund don invest in Cameroon housing project,business
963,Cameroonian weaving cooperative don win EU development grant,business
964,New biomedical equipment repair center don open for hospital,health
965,Finance minister don present mid-term economic review today,business
966,Kontri sport scientist don study performance of runner dem,sports
967,Ministry of health don adopt electronic prescription system,technology
968,Cameroonian hardware engineer don build affordable computer,technology
969,Cameroon stock exchange don record new high for dis month,business
970,Cameroonian ice hockey federation don apply for membership,sports
971,New tech entrepreneurship competition don open for student,technology
972,Kontri president don renew call for national reconciliation,politics
973,New satellite broadband service don cover remote town dem,technology
974,New book about Cameroon culture don launch for diaspora,entertainment
975,"New digital skills training don complete first 5,000 youth",technology
976,Cameroonian painter don commission for big mural project,entertainment
977,New Afrobeats hit from Cameroon don top chart for two week,entertainment
978,Olympic committee don select new team dem for Paris Games,sports
979,New logistics company don open warehouse for Nsam area,business
980,Cameroonian tech student dem don win hackathon in Nairobi,technology
981,Ministry don warn about rising food poisoning case dem today,health
982,Cameroonian e-commerce platform don reach one million user,business
983,New sports equipment don arrive from China for kontri team,sports
984,New UN report don criticize Cameroon govament for rights abuse,politics
985,New toll road don generate revenue for kontri infrastructure,business
986,New radio station don launch for Cameroonian youth dem,entertainment
987,Kontri sugar production don recover after years of decline,business
988,Cameroonian machine learning model don detect plant disease,technology
989,Kontri minister of economy don warn about inflation rise,politics
990,Kontri justice minister don open new court for north region,politics
991,New maternal health program don reduce death of mother dem,health
992,Cameroonian pharmaceutical plant don boost local drug output,business
993,New creative writing workshop don open for youth in Douala,entertainment
994,Minister don warn say kontri go punish tax evader dem hard,politics
995,Kontri nutrition survey don find stunting still high for north,health
996,New bus company don launch inter-city transport service,business
997,New digital library don give student free access to book,technology
998,Kontri ambassador don protest against UN resolution today,politics
999,Governor don commission new administrative building for town,politics
1000,New Cameroonian film don go to international festival today,entertainment
